dependent variable,reg_spec,n_lags,value,t-statistic,significance,LB (90.00% ci),UB (90.00% ci),p_val,index
Florida,gar_sfh_crsp,6,-0.00651209013412047,-0.6728881733271506,0,-0.022451841676206535,0.009427661407965589,0.5012411431467105,38
Wyoming,gar_sfh_crsp,6,-0.004711660254223177,-3.247175193020493,1,-0.007101519296796919,-0.0023218012116494355,0.0012213171457149397,39
Louisiana,gar_sfh_crsp,6,-0.002289172058876636,-1.3765018444759352,0,-0.005028258124281197,0.0004499140065279241,0.1691077022755627,40
Minnesota,gar_sfh_crsp,6,-0.0021998630773619405,-0.7328955249063304,0,-0.00714362582295739,0.0027438996682335078,0.46386820038105414,41
Indiana,gar_sfh_crsp,6,0.0011337552568626112,0.2013844926146262,0,-0.00813875512902089,0.01040626564274611,0.8404566116972341,42
Delaware,gar_sfh_crsp,6,-0.005275258439924949,-3.2041653798963625,1,-0.007986903594077055,-0.0025636132857728444,0.0014161735984516977,43
Arizona,gar_sfh_crsp,6,-0.0055048946737019586,-1.8787902107220946,1,-0.01033075518930352,-0.0006790341581004002,0.060689654784211955,44
Kentucky,gar_sfh_crsp,6,-0.0034480134377714968,-1.3674453329877794,0,-0.007601023813990122,0.0007049969384471267,0.17192591228252363,45
Massachusetts,gar_sfh_crsp,6,-0.004683530083088977,-1.3075281344266891,0,-0.01058318095030765,0.0012161207841296937,0.19146391434464038,46
Missouri,gar_sfh_crsp,6,-0.0028216074187659727,-0.9425025611303031,0,-0.007752415389472793,0.002109200551940845,0.3462614903122785,47
United States,gar_sfh_crsp,3,-0.00010096282768069822,-2.2426802189483586,1,-0.0001751097746944576,-2.6815880666938876e-05,0.025227860592399898,0
Connecticut,gar_sfh_crsp,3,0.005893264376908174,0.8464131117149707,0,-0.005574338971916933,0.017360867725733278,0.39760993960386637,1
Georgia,gar_sfh_crsp,3,0.012042409766103788,1.6917597801065765,1,0.00031846332439946536,0.023766356207808106,0.09113432091751461,2
Illinois,gar_sfh_crsp,3,0.004324453175265296,1.5951457508744205,0,-0.00014063406224728778,0.008789540412777878,0.11112844164608005,3
Michigan,gar_sfh_crsp,3,0.004007031463434615,0.7681524658755772,0,-0.004584576350318108,0.012598639277187334,0.4426541901279544,4
Wisconsin,gar_sfh_crsp,3,0.003658123208133077,1.027200161855687,0,-0.0022073407482057746,0.009523587164471926,0.3046790199883809,5
Washington,gar_sfh_crsp,3,0.0011191177819102009,0.41103619901959276,0,-0.0033651841497829146,0.005603419713603315,0.6811710772528947,6
California,gar_sfh_crsp,3,0.001158269295252038,0.26409697745224286,0,-0.006065190064162488,0.00838172865466656,0.7917824832177547,7
Alabama,gar_sfh_crsp,3,0.004194179565476248,1.911464761234713,1,0.000580248662312273,0.007808110468640222,0.05635062781060385,8
New Mexico,gar_sfh_crsp,3,-0.00027152022073390015,-0.34175334393482293,0,-0.0015800648104197048,0.0010370243689519043,0.7326385113764451,9
South Dakota,gar_sfh_crsp,3,-1.41971383930606e-06,-4.422256239623488,1,-1.9484707216763465e-06,-8.909569569357735e-07,1.1312011864550442e-05,10
North Dakota,gar_sfh_crsp,3,-2.6389088813857733e-06,-3.589517907366316,1,-3.849750643109301e-06,-1.4280671196622457e-06,0.000354281509641341,11
Utah,gar_sfh_crsp,3,-4.425425257664453e-05,-3.258435628044178,1,-6.662317097892406e-05,-2.1885334174365003e-05,0.0011741009250063605,12
Nebraska,gar_sfh_crsp,3,0.001329025638151089,0.6771807990501048,0,-0.0019033948011951997,0.004561446077497377,0.49851370682144136,13
Ohio,gar_sfh_crsp,3,-0.0014359039218246566,-0.8955714344062334,0,-0.004076635566871078,0.0012048277232217636,0.37078780203084616,14
Colorado,gar_sfh_crsp,3,0.0013463840866551288,0.39902429641347437,0,-0.00421097872079311,0.006903746894103365,0.6899963089227712,15
South Carolina,gar_sfh_crsp,3,-0.00032628968765268507,-3.050650735290144,1,-0.0005024507741678607,-0.0001501286011375095,0.0023692248167457297,16
Idaho,gar_sfh_crsp,3,-0.0004932852409319844,-0.47714636069451594,0,-0.00219601460908914,0.0012094441272251701,0.6334059880753062,17
Vermont,gar_sfh_crsp,3,-0.0008440957678092125,-2.116802284340011,1,-0.0015008615958356712,-0.00018732993978275397,0.03462683150333157,18
Maryland,gar_sfh_crsp,3,-0.0004850996950331544,-0.16614218252289467,0,-0.005294049135986403,0.0043238497459200925,0.8680927609635414,19
New Hampshire,gar_sfh_crsp,3,-0.0005591597947039662,-2.5677705999435254,1,-0.0009178164016326358,-0.00020050318777529676,0.010440746758466402,20
Texas,gar_sfh_crsp,3,-0.0006918228406493105,-1.7541620101828908,1,-0.0013413903827484274,-4.225529855019384e-05,0.07983782468840817,21
Rhode Island,gar_sfh_crsp,3,0.0014883747397154013,0.8109316489963537,0,-0.0015345487903762345,0.004511298269807036,0.4176789832036798,22
Mississippi,gar_sfh_crsp,3,-0.0013891224330188027,-0.24385718888602945,0,-0.010771309384384534,0.007993064518346926,0.8074124721304918,23
Tennessee,gar_sfh_crsp,3,-0.00037424590007623944,-1.0925521151661859,0,-0.0009384211239587114,0.00018992932380623235,0.2749642255970359,24
New Jersey,gar_sfh_crsp,3,-0.000537248109995163,-1.546491936048719,0,-0.0011094197887296727,3.492356873934649e-05,0.12243519364876665,25
Nevada,gar_sfh_crsp,3,-0.0006777809438602057,-3.0772787722154806,1,-0.0010405428156239028,-0.0003150190720965086,0.002170031868254041,26
Pennsylvania,gar_sfh_crsp,3,-0.0006447123578349723,-2.585582493647792,1,-0.0010553953495062197,-0.00023402936616372512,0.009921291827895251,27
Kansas,gar_sfh_crsp,3,0.00042373618040654005,0.21353582322705159,0,-0.002844578951294628,0.003692051312107707,0.8309708751156011,28
Montana,gar_sfh_crsp,3,-0.0021525332036262486,-2.0946910351504506,1,-0.0038450344848030985,-0.00046003192244939905,0.03655532395236483,29
Oklahoma,gar_sfh_crsp,3,-0.0010714884520914764,-0.9370159679020132,0,-0.002954875692157055,0.0008118987879741012,0.34907167141483164,30
West Virginia,gar_sfh_crsp,3,-0.00028970694316023257,-0.42994131685189096,0,-0.0013995174758509462,0.0008201035895304805,0.6673698974232778,31
Arkansas,gar_sfh_crsp,3,0.001207393692975919,0.37194307699431595,0,-0.00413913059606891,0.006553917982020745,0.7100471571424269,32
Iowa,gar_sfh_crsp,3,0.0009475476884341178,0.45091346323148107,0,-0.0025134953095343605,0.004408590686402595,0.6521907679657812,33
New York,gar_sfh_crsp,3,-0.0011490769223938147,-2.356145110279687,1,-0.001952318515930051,-0.0003458353288575788,0.018738858931621527,34
North Carolina,gar_sfh_crsp,3,-0.0009214743212324244,-1.7716103854021341,1,-0.0017781454693314366,-6.480317313341255e-05,0.07689178972211419,35
Maine,gar_sfh_crsp,3,-0.001025450848644814,-0.45836156378119824,0,-0.004710181755927618,0.002659280058637989,0.6468341569859137,36
Oregon,gar_sfh_crsp,3,-0.00034546698409695887,-1.1714501326822992,0,-0.0008311823731273722,0.00014024840493345427,0.24181420942617127,37
Florida,gar_sfh_crsp,3,-0.0017224333586727501,-0.1985923258968709,0,-0.016007395261767934,0.012562528544422429,0.8426389928209057,38
Wyoming,gar_sfh_crsp,3,-0.004697975725349362,-3.4396071649885944,1,-0.006947553663945286,-0.002448397786753439,0.0006169029376861257,39
Louisiana,gar_sfh_crsp,3,-0.0009563343331228115,-0.7952546101592881,0,-0.002936961232081824,0.0010242925658362,0.4267334440536792,40
Minnesota,gar_sfh_crsp,3,0.00018583086214933554,0.08853078625932011,0,-0.003271354307117812,0.0036430160314164816,0.929479994007085,41
Indiana,gar_sfh_crsp,3,-0.002919938087297016,-0.9632825005281732,0,-0.00791244980735414,0.0020725736327601063,0.33573652625528316,42
Delaware,gar_sfh_crsp,3,-0.0053825447421010295,-3.2577505407679075,1,-0.008103797886071953,-0.0026612915981301067,0.0011768962514371317,43
Arizona,gar_sfh_crsp,3,-0.0027797836919376956,-1.2385135426235028,0,-0.006476442462344769,0.0009168750784693761,0.21593851280384646,44
Kentucky,gar_sfh_crsp,3,-0.0026952430444889645,-1.8343456923955255,1,-0.005115245856047959,-0.00027524023292997126,0.06702456864231365,45
Massachusetts,gar_sfh_crsp,3,-0.004162988506366636,-1.7829696936955182,1,-0.008008555409540336,-0.00031742160319293876,0.07502201690039678,46
