YEAR,MONTH,Alabama - SFH,Alaska - SFH,Arizona - SFH,Arkansas - SFH,California - SFH,Colorado - SFH,Connecticut - SFH,Delaware - SFH,Florida - SFH,Georgia - SFH,Idaho - SFH,Illinois - SFH,Indiana - SFH,Iowa - SFH,Kansas - SFH,Kentucky - SFH,Louisiana - SFH,Maine - SFH,Maryland - SFH,Massachusetts - SFH,Michigan - SFH,Minnesota - SFH,Mississippi - SFH,Missouri - SFH,Montana - SFH,Nebraska - SFH,Nevada - SFH,New Hampshire - SFH,New Jersey - SFH,New Mexico - SFH,New York - SFH,North Carolina - SFH,North Dakota - SFH,Ohio - SFH,Oklahoma - SFH,Oregon - SFH,Pennsylvania - SFH,Rhode Island - SFH,South Carolina - SFH,South Dakota - SFH,Tennessee - SFH,Texas - SFH,United States - SFH,Utah - SFH,Vermont - SFH,Virginia - SFH,Washington - SFH,West Virginia - SFH,Wisconsin - SFH,Wyoming - SFH,Alabama - MFH,Alaska - MFH,Arizona - MFH,Arkansas - MFH,California - MFH,Colorado - MFH,Connecticut - MFH,Delaware - MFH,Florida - MFH,Georgia - MFH,Idaho - MFH,Illinois - MFH,Indiana - MFH,Iowa - MFH,Kansas - MFH,Kentucky - MFH,Louisiana - MFH,Maine - MFH,Maryland - MFH,Massachusetts - MFH,Michigan - MFH,Minnesota - MFH,Mississippi - MFH,Missouri - MFH,Montana - MFH,Nebraska - MFH,Nevada - MFH,New Hampshire - MFH,New Jersey - MFH,New Mexico - MFH,New York - MFH,North Carolina - MFH,North Dakota - MFH,Ohio - MFH,Oklahoma - MFH,Oregon - MFH,Pennsylvania - MFH,Rhode Island - MFH,South Carolina - MFH,South Dakota - MFH,Tennessee - MFH,Texas - MFH,United States - MFH,Utah - MFH,Vermont - MFH,Virginia - MFH,Washington - MFH,West Virginia - MFH,Wisconsin - MFH,Wyoming - MFH,Alabama - L_MFH,Alaska - L_MFH,Arizona - L_MFH,Arkansas - L_MFH,California - L_MFH,Colorado - L_MFH,Connecticut - L_MFH,Delaware - L_MFH,Florida - L_MFH,Georgia - L_MFH,Idaho - L_MFH,Illinois - L_MFH,Indiana - L_MFH,Iowa - L_MFH,Kansas - L_MFH,Kentucky - L_MFH,Louisiana - L_MFH,Maine - L_MFH,Maryland - L_MFH,Massachusetts - L_MFH,Michigan - L_MFH,Minnesota - L_MFH,Mississippi - L_MFH,Missouri - L_MFH,Montana - L_MFH,Nebraska - L_MFH,Nevada - L_MFH,New Hampshire - L_MFH,New Jersey - L_MFH,New Mexico - L_MFH,New York - L_MFH,North Carolina - L_MFH,North Dakota - L_MFH,Ohio - L_MFH,Oklahoma - L_MFH,Oregon - L_MFH,Pennsylvania - L_MFH,Rhode Island - L_MFH,South Carolina - L_MFH,South Dakota - L_MFH,Tennessee - L_MFH,Texas - L_MFH,United States - L_MFH,Utah - L_MFH,Vermont - L_MFH,Virginia - L_MFH,Washington - L_MFH,West Virginia - L_MFH,Wisconsin - L_MFH,Wyoming - L_MFH,Alabama - S_MFH,Alaska - S_MFH,Arizona - S_MFH,Arkansas - S_MFH,California - S_MFH,Colorado - S_MFH,Connecticut - S_MFH,Delaware - S_MFH,Florida - S_MFH,Georgia - S_MFH,Idaho - S_MFH,Illinois - S_MFH,Indiana - S_MFH,Iowa - S_MFH,Kansas - S_MFH,Kentucky - S_MFH,Louisiana - S_MFH,Maine - S_MFH,Maryland - S_MFH,Massachusetts - S_MFH,Michigan - S_MFH,Minnesota - S_MFH,Mississippi - S_MFH,Missouri - S_MFH,Montana - S_MFH,Nebraska - S_MFH,Nevada - S_MFH,New Hampshire - S_MFH,New Jersey - S_MFH,New Mexico - S_MFH,New York - S_MFH,North Carolina - S_MFH,North Dakota - S_MFH,Ohio - S_MFH,Oklahoma - S_MFH,Oregon - S_MFH,Pennsylvania - S_MFH,Rhode Island - S_MFH,South Carolina - S_MFH,South Dakota - S_MFH,Tennessee - S_MFH,Texas - S_MFH,United States - S_MFH,Utah - S_MFH,Vermont - S_MFH,Virginia - S_MFH,Washington - S_MFH,West Virginia - S_MFH,Wisconsin - S_MFH,Wyoming - S_MFH,Alabama - TOT,Alaska - TOT,Arizona - TOT,Arkansas - TOT,California - TOT,Colorado - TOT,Connecticut - TOT,Delaware - TOT,Florida - TOT,Georgia - TOT,Idaho - TOT,Illinois - TOT,Indiana - TOT,Iowa - TOT,Kansas - TOT,Kentucky - TOT,Louisiana - TOT,Maine - TOT,Maryland - TOT,Massachusetts - TOT,Michigan - TOT,Minnesota - TOT,Mississippi - TOT,Missouri - TOT,Montana - TOT,Nebraska - TOT,Nevada - TOT,New Hampshire - TOT,New Jersey - TOT,New Mexico - TOT,New York - TOT,North Carolina - TOT,North Dakota - TOT,Ohio - TOT,Oklahoma - TOT,Oregon - TOT,Pennsylvania - TOT,Rhode Island - TOT,South Carolina - TOT,South Dakota - TOT,Tennessee - TOT,Texas - TOT,United States - TOT,Utah - TOT,Vermont - TOT,Virginia - TOT,Washington - TOT,West Virginia - TOT,Wisconsin - TOT,Wyoming - TOT
1969,1,11208,35,15850,4781,130020,13332,9318,3458,65974,22900,498,25750,9588,3414,4388,6504,14363,982,19603,15946,29956,9060,6460,15535,475,1117,5949,2066,18451,1903,29988,18182,117,26384,9866,5606,18479,1586,14615,59,10045,53892,717394,2608,518,24085,16830,1033,7778,423,2818,36,1899,371,77105,8276,6184,2274,95316,12001,222,31907,5672,1339,4069,4774,2504,204,5546,8739,21560,12319,1072,9580,67,3153,200,113,8048,1403,19224,8918,0,21402,7441,4350,13113,312,1569,0,6666,44413,502386,1286,0,7768,12239,192,8335,0,2468,0,623,275,64310,7084,5795,2232,90153,11319,148,30201,5420,1028,3724,4228,952,204,5328,7983,20648,11797,995,7705,0,3071,200,0,5864,1125,14988,8250,0,18970,6979,2591,12730,220,1159,0,6117,40830,447453,780,0,7022,10190,0,5924,0,350,36,1276,96,12795,1192,389,42,5163,682,74,1706,252,311,345,546,1552,0,218,756,912,522,77,1875,67,82,0,113,2184,278,4236,668,0,2432,462,1759,383,92,410,0,549,3583,54933,506,0,746,2049,192,2411,0,14026,71,17749,5152,207125,21607,15501,5732,161290,34901,720,57656,15260,4753,8456,11277,16867,1186,25149,24685,51517,21379,7532,25115,542,4270,6150,2179,26499,3306,49212,27101,117,47786,17306,9956,31591,1898,16184,59,16711,98305,1219779,3893,518,31853,29070,1225,16113,423
1969,2,11786,295,16846,5754,110838,16237,7803,2372,61077,21986,728,41202,16303,4037,7206,9845,14485,479,21692,10077,41053,14889,6100,15714,264,1293,5126,2213,16782,2912,26131,19465,131,40224,10079,9940,24424,1178,13292,63,13900,53303,779279,3165,289,27882,27879,831,12089,659,4387,126,5207,452,68092,4643,12694,2176,121428,14423,24,36023,4783,981,8330,4036,8243,0,5615,7379,17868,10026,1234,10082,100,1094,2623,2686,9314,997,19642,4843,0,18785,5918,5769,11878,334,2359,14,4186,43714,527325,692,38,6089,9785,223,9376,0,882,30,2553,231,52433,3942,12446,2176,112904,13503,0,34139,3701,462,7836,3716,7203,0,5579,6999,16539,9578,970,8955,40,991,2447,2564,7651,935,16183,4205,0,15236,4770,3936,10782,282,2168,0,3343,40134,461778,277,0,5726,7060,25,7773,0,3505,96,2654,221,15659,701,248,0,8524,920,24,1884,1082,519,494,320,1040,0,36,380,1329,448,264,1127,60,103,176,122,1663,62,3459,638,0,3549,1148,1833,1096,52,191,14,843,3580,65547,415,38,363,2725,198,1603,0,16173,421,22051,6206,178930,20880,20497,4548,182506,36409,752,77225,21086,5019,15536,13881,22729,479,27306,17456,58921,24915,7334,25795,364,2387,7749,4899,26096,3910,45773,24308,131,59009,15997,15710,36302,1512,15652,77,18086,97016,1306604,3858,327,33971,37664,1054,21465,659
1969,3,12496,208,19322,6365,136606,15982,16872,3480,64011,26492,1344,70283,25947,9629,7677,10314,15805,1311,33989,15718,53942,21364,6081,23977,516,3972,7136,2362,39806,2516,44916,22750,291,62368,10131,14589,39939,1823,12202,1118,15487,55180,1066946,5171,1066,44069,47845,1698,20533,435,5657,95,6743,1156,67615,6270,9599,2614,88356,9539,197,30139,17007,2342,2906,4345,4694,237,9987,10160,39186,12448,1387,13533,1300,589,500,463,17744,392,42665,7068,370,24510,5375,8016,10093,704,484,22,8164,38810,575660,1890,0,14139,17862,319,8563,200,5444,0,5675,962,49513,5485,8901,2614,81400,8978,50,25963,15086,1821,899,4042,2289,0,9901,7558,35687,12250,1316,10966,840,387,308,100,14606,140,36362,5554,315,19635,4818,6356,8866,704,319,0,7614,34995,493631,1005,0,13563,15138,230,6525,200,213,95,1068,194,18102,785,698,0,6956,561,147,4176,1921,521,2007,303,2405,237,86,2602,3499,198,71,2567,460,202,192,363,3138,252,6303,1514,55,4875,557,1660,1227,0,165,22,550,3815,82029,885,0,576,2724,89,2038,0,18153,303,26065,7521,204222,22252,26471,6094,152367,36032,1540,100421,42954,11970,10583,14659,20499,1548,43976,25877,93128,33812,7468,37511,1816,4562,7636,2825,57549,2908,87581,29818,661,86877,15506,22605,50032,2527,12685,1140,23650,93990,1642606,7062,1066,58208,65707,2017,29096,635
1969,4,13546,1181,21146,7470,218466,21988,26675,4584,79757,27719,1926,77204,28996,16107,5608,10249,13968,2814,38139,31299,59632,30483,6175,21643,2287,5098,8597,5653,48229,2963,61584,24585,1892,74471,12055,13792,46855,4575,12817,1469,17829,59282,1310256,5469,1525,47708,42487,2305,30553,1131,2495,898,5091,823,127382,8361,14050,2040,85380,14332,162,57387,9496,4996,7889,5560,9634,119,25139,11613,35474,21620,623,8308,503,3814,1155,2542,9943,323,55567,7430,640,23357,5909,5317,21936,664,1472,1124,5322,62688,739251,2878,14,14135,23668,578,9195,30,1892,392,4020,306,110396,7305,13416,2040,79124,13683,0,49882,8669,4328,2805,5038,8371,0,25044,10938,34434,20886,576,7440,340,3618,1125,2071,6809,295,45859,6808,511,20272,5423,4171,21183,523,1232,1010,4479,60449,655048,1480,0,12036,19238,340,6683,0,603,506,1071,517,16986,1056,634,0,6256,649,162,7505,827,668,5084,522,1263,119,95,675,1040,734,47,868,163,196,30,471,3134,28,9708,622,129,3085,486,1146,753,141,240,114,843,2239,84203,1398,14,2099,4430,238,2512,30,16041,2080,26237,8294,345848,30348,40726,6624,165136,42051,2088,134591,38492,21103,13497,15809,23602,2933,63278,42912,95106,52103,6799,29951,2790,8912,9752,8195,58172,3286,117151,32014,2532,97828,17963,19109,68790,5239,14289,2593,23152,121970,2049507,8347,1539,61843,66155,2883,39748,1161
1969,5,10186,1728,21401,6020,193472,14780,28674,3606,66207,23958,1481,69878,26674,14458,5751,11652,15803,3359,39835,30307,53799,27352,6630,20712,599,4874,8150,5898,46670,3682,64037,23577,2449,66515,10368,13059,43474,4392,14942,1946,14802,51221,1211381,5759,1155,43695,42855,1744,27393,1099,4904,468,5986,1071,93579,16083,9392,307,108720,9314,178,22858,10663,2745,3601,3935,6850,74,10557,8510,21119,11852,1113,3802,750,854,1589,1115,20252,115,28165,7099,465,28086,11310,9884,25871,1012,1528,860,8368,42091,602924,3150,80,13822,17383,484,6173,186,4670,94,4605,621,78069,15281,8408,287,102276,8648,0,18552,9889,2136,3444,3310,5580,0,10517,7937,19674,11281,975,3210,626,738,1570,715,16572,0,21320,5511,412,23939,10675,8235,24811,975,1385,825,7292,39975,530616,2212,60,11414,14445,364,3551,0,234,374,1381,450,15510,802,984,20,6444,666,178,4306,774,609,157,625,1270,74,40,573,1445,571,138,592,124,116,19,400,3680,115,6845,1588,53,4147,635,1649,1060,37,143,35,1076,2116,72308,938,20,2408,2938,120,2622,186,15089,2196,27388,7090,287051,30863,38066,3913,174928,33272,1659,92736,37337,17204,9352,15587,22653,3433,50391,38817,74918,39204,7742,24514,1349,5729,9739,7013,66922,3797,92202,30676,2914,94602,21678,22944,69345,5404,16470,2806,23171,93312,1814306,8910,1235,57517,60238,2228,33565,1285
1969,6,10705,2500,24181,5079,192707,18682,26474,3757,68375,23969,1188,67670,26439,14996,4426,10449,14709,3277,33404,31472,46547,25433,5134,19841,1945,5298,4367,4444,41834,2593,53128,21749,1922,58491,9895,15315,42723,4654,12613,1701,12667,49294,1147721,5239,1495,47160,36859,2016,21042,875,1404,713,5537,2159,99678,5725,11783,700,87206,21858,353,35956,14277,2840,7054,8497,5482,1190,4529,16639,47366,19655,1817,5026,371,1960,611,592,10912,0,28403,8249,1313,23776,10574,9517,15852,4406,4257,25,1838,35396,608353,1643,790,5150,13469,262,5861,163,1314,140,4418,2060,83174,5285,10039,700,81639,21281,184,31995,12366,2319,6502,8121,469,1145,4484,16061,44059,18740,1717,4509,163,1761,554,381,6773,0,21831,5907,1289,20519,9218,6867,14465,4098,3523,0,911,32111,529295,1072,774,4719,11404,70,4048,163,90,573,1119,99,16504,440,1744,0,5567,577,169,3961,1911,521,552,376,5013,45,45,578,3307,915,100,517,208,199,57,211,4139,0,6572,2342,24,3257,1356,2650,1387,308,734,25,927,3285,79058,571,16,431,2065,192,1813,0,12108,3213,29718,7238,292386,24408,38257,4457,155581,45827,1541,103626,40715,17836,11480,18946,20190,4467,37933,48111,93913,45089,6951,24867,2316,7258,4979,5036,52746,2593,81530,29997,3235,82267,20469,24832,58574,9060,16870,1726,14505,84690,1756075,6882,2285,52311,50327,2277,26902,1038
1969,7,10749,2276,23363,4909,131925,18940,20915,4132,71287,21038,1279,62244,22183,15866,6834,8429,12956,3522,28024,25784,45577,21834,4828,20347,602,5296,6722,4867,49327,3849,45506,19739,2109,55168,8324,13140,38106,3945,12152,1839,14675,42407,1013784,4705,1279,29992,28015,3006,20182,566,311,1776,6424,575,98486,8117,8099,3973,93500,20252,672,37536,9548,6126,8173,7175,4526,135,3665,12759,13601,16727,1818,10430,1084,1256,1750,244,17256,2174,30283,8138,3094,30874,4328,4555,11289,745,1518,517,6535,40083,580345,2283,3169,3810,15331,27,6316,0,271,1015,4739,136,78663,7218,7636,3963,88207,17954,180,35310,8500,5944,7226,6495,3299,55,3609,11092,12086,15925,1736,9328,135,1044,1655,214,14086,2134,24570,6613,2817,26517,3940,3118,10707,698,1182,517,4205,35959,504642,1517,3169,3012,13030,0,4616,0,40,761,1685,439,19823,899,463,10,5293,2298,492,2226,1048,182,947,680,1227,80,56,1667,1515,802,82,1102,949,212,95,30,3170,40,5713,1525,277,4357,388,1437,582,47,336,0,2330,4124,75703,766,0,798,2301,27,1700,0,11060,4052,29787,5484,230412,27057,29014,8105,164786,41291,1952,99780,31731,21993,15007,15604,17482,3657,31688,38544,59178,38561,6645,30776,1686,6551,8472,5111,66583,6023,75788,27876,5203,86042,12651,17695,49395,4690,13670,2356,21209,82490,1594130,6988,4448,33801,43347,3033,26497,566
1969,8,9970,1465,18055,3986,125242,22643,18529,3229,65920,21040,842,48600,19500,9880,6947,8217,10795,2657,24262,24154,41830,20524,5235,19550,668,3738,6578,4821,35904,2524,48936,21312,1320,48835,7736,11637,37927,4367,12274,878,12972,39555,927277,4881,1536,32564,23183,3721,16986,673,1782,1679,9784,1238,99787,11328,7130,88,90444,12925,467,34560,10645,1421,7135,8734,5937,294,9916,23825,23833,10139,2706,6989,197,2279,258,43,14154,25,19351,6214,1099,28534,3929,5207,9749,244,3069,38,12730,31898,555509,1114,40,4150,20443,545,4778,0,1583,900,6731,1101,83229,9305,6666,75,84698,12329,328,32305,9824,1137,6708,8662,5039,294,9834,22842,23016,9076,2613,6297,99,2067,55,0,11266,0,14261,3576,1033,24802,3317,3867,7650,160,2855,0,7294,28167,483319,725,0,3790,19222,285,2880,0,199,779,3053,137,16558,2023,464,13,5746,596,139,2255,821,284,427,72,898,0,82,983,817,1063,93,692,98,212,203,43,2888,25,5090,2638,66,3732,612,1340,2099,84,214,38,5436,3731,72190,389,40,360,1221,260,1898,0,11753,3144,27839,5224,225028,33971,25659,3317,156364,33965,1309,83160,30145,11301,14082,16951,16731,2951,34178,47979,65662,30662,7941,26540,865,6016,6836,4864,50058,2549,68287,27526,2418,77369,11665,16845,47676,4611,15343,916,25702,71452,1482785,5995,1576,36714,43626,4265,21764,673
1969,9,9311,1723,23075,5865,124006,17178,18323,3194,59213,23076,1307,44626,18490,9548,6472,8747,13180,2543,26537,27997,44449,19084,4833,19529,425,5423,6842,4173,35217,2929,45568,17345,2191,52786,8195,14134,34530,3231,11964,1364,11495,38873,924207,5043,893,29239,27249,1611,19716,956,2006,1448,1777,770,108085,7669,6479,3302,77684,18411,1006,33683,6873,4237,6245,3232,8005,1377,10116,23363,25489,5575,2497,13013,1524,1155,850,1012,6980,230,21922,3580,1502,26058,5485,4624,13556,430,4164,1489,5507,28122,559920,730,344,8716,9676,15412,4973,10,1388,351,305,457,91515,6384,5932,3302,71272,18115,920,30117,6348,2837,5576,2831,7121,1319,9828,22527,23420,3542,2434,10782,1455,968,770,705,3880,86,17220,3083,1323,23516,5295,2822,12032,294,3291,1337,4642,26519,490045,163,314,8234,7600,15398,2528,0,618,1097,1472,313,16570,1285,547,0,6412,296,86,3566,525,1400,669,401,884,58,288,836,2069,2033,63,2231,69,187,80,307,3100,144,4702,497,179,2542,190,1802,1524,136,873,152,865,1603,69875,567,30,482,2076,14,2445,10,11317,3171,24852,6635,232091,24847,24802,6496,136896,41487,2313,78309,25363,13785,12716,11979,21186,3920,36652,51359,69939,24659,7330,32542,1949,6578,7692,5185,42197,3159,67491,20926,3693,78844,13680,18757,48085,3661,16128,2853,17001,66994,1484128,5772,1237,37955,36925,17023,24689,966
1969,10,9113,1877,23408,5701,154679,13541,20069,3834,64602,24388,1576,51359,21756,12293,7008,6456,11793,3059,24268,28674,49358,20491,5416,19127,699,5977,7853,4848,38663,2494,45329,18763,2225,51250,7568,10823,34907,3889,13154,2069,12217,38774,973888,3967,1283,28344,26050,1463,19137,417,2496,1163,6241,2693,111544,4542,11993,628,90076,7756,1259,17445,18739,4659,2288,3316,10244,580,5843,14074,20430,28421,3292,13521,1870,2519,2254,1900,6913,709,52615,4101,2232,31778,7549,1754,19317,1351,3364,175,3328,22690,604289,1653,65,16154,13959,74,10915,50,2052,212,4674,2047,95575,3788,9125,540,82874,7042,930,13880,17738,3895,1857,3026,9208,525,5779,11926,19230,27659,3230,11864,1281,2294,1836,1612,4172,671,46942,3066,1915,27708,7259,976,18279,1351,1878,175,2204,20794,530640,837,0,15411,11994,50,7829,0,444,951,1567,646,15969,754,2868,88,7202,714,329,3565,1001,764,431,290,1036,55,64,2148,1200,762,62,1657,589,225,418,288,2741,38,5673,1035,317,4070,290,778,1038,0,1486,0,1124,1896,73649,816,65,743,1965,24,3086,50,11608,3040,29649,8394,266223,18083,32061,4462,154678,32144,2835,68803,40495,16952,9295,9772,22037,3639,30111,42748,69788,48912,8708,32648,2569,8496,10107,6748,45576,3203,97944,22864,4457,83027,15117,12578,54224,5240,16518,2244,15545,61464,1578176,5620,1348,44498,40010,1537,30052,467
1969,11,7139,634,17151,4048,106192,11664,14780,2503,50192,17445,1416,35970,13299,9165,4849,5315,10487,2588,17979,22102,40812,15575,4054,12154,1119,4528,5656,3570,27253,2191,35036,14028,1222,35214,6312,7829,23317,3577,10247,1118,8437,33445,723928,3114,3381,23709,21529,1420,11900,797,2820,441,5029,3235,84879,2666,4986,2732,77244,9210,580,25689,5353,3620,1008,3716,8445,163,6282,22578,25566,12173,970,10154,81,1904,250,649,10484,154,22396,2842,1504,26968,6586,6224,6304,680,415,539,6955,33150,471597,2213,135,6293,7990,76,3883,0,2284,45,2695,3118,72240,1956,3900,2732,68236,8836,212,22931,4438,2293,409,3568,7050,125,6238,21701,24363,11543,950,8623,49,1714,0,500,8703,100,18327,2330,1016,23015,6098,5493,5743,566,174,510,4068,31369,408258,1183,0,5719,6012,50,2266,0,536,396,2334,117,12639,710,1086,0,9008,374,368,2758,915,1327,599,148,1395,38,44,877,1203,630,20,1531,32,190,250,149,1781,54,4069,512,488,3953,488,731,561,114,241,29,2887,1781,63339,1030,135,574,1978,26,1617,0,9958,1075,22181,7283,191071,14330,19766,5235,127436,26655,1996,61659,18652,12785,5856,9031,18932,2751,24261,44680,66378,27747,5024,22308,1200,6432,5906,4219,37736,2345,57433,16871,2726,62181,12898,14054,29621,4257,10663,1657,15391,66595,1195525,5328,3517,30002,29520,1496,15782,797
1969,12,7575,143,28803,3558,98730,13371,14083,1961,63760,16471,1285,52740,11244,6002,5418,4945,9014,1683,25621,18003,26784,13328,5130,13569,856,4022,7451,2773,26860,2645,33418,18498,626,26993,6276,6712,17642,2386,9355,447,9753,33093,714797,3449,1091,19503,21342,1129,8630,834,5054,284,3547,659,111821,5630,10774,0,72592,8229,384,28919,12098,1810,4727,1965,4090,126,13424,7468,26106,13167,1839,7921,590,2506,697,709,8186,1200,20132,6265,0,20946,1194,3000,6798,2124,3222,227,18959,15122,484985,952,60,7302,8779,25,5612,11,4275,0,1726,604,91261,4843,8998,0,66465,7874,354,26513,10255,1531,3072,1564,3389,0,13292,5921,24665,12828,1761,7063,330,2415,697,260,5725,1200,15104,5860,0,16069,1134,2616,6674,1956,2814,210,18568,14171,420456,498,60,6640,7605,0,4226,0,779,284,1821,55,20560,787,1776,0,6127,355,30,2406,1843,279,1655,401,701,126,132,1547,1441,339,78,858,260,91,0,449,2461,0,5028,405,0,4877,60,384,124,168,408,17,391,951,64529,454,0,662,1174,25,1386,11,12630,427,32350,4217,210552,19001,24857,1961,136352,24700,1669,81659,23343,7813,10145,6909,13104,1808,39045,25471,52890,26494,6969,21489,1446,6528,8148,3482,35046,3845,53549,24763,626,47938,7470,9712,24440,4510,12578,674,28712,48215,1199783,4401,1151,26805,30122,1154,14242,845
1970,1,5553,79,22355,3725,75985,13225,4552,1096,51562,19367,612,13435,7038,2174,2764,3124,8704,1056,11896,9398,15656,4843,4339,7672,363,2267,7440,1370,10409,3196,13237,12883,380,18362,5276,6682,12673,1183,10614,77,5749,35746,487981,2676,187,13886,16820,240,5619,271,4054,130,8068,1851,94657,8733,983,321,93773,9460,158,4794,3098,510,20043,2401,6992,568,14009,21301,7053,4702,367,4406,286,338,4438,345,6469,49,12201,4633,0,9322,12678,3073,3975,22,1051,0,2380,31306,431006,962,350,9781,5606,30,4910,48,3942,0,4006,1171,82218,7638,668,260,86005,7721,0,3445,2638,300,17856,2320,5263,568,13240,20923,6362,4530,236,4076,0,286,4424,240,5995,49,10209,4101,0,5864,12360,2165,3764,0,836,0,1555,30020,379541,407,350,9017,4709,0,4285,0,112,130,4062,680,12439,1095,315,61,7768,1739,158,1349,460,210,2187,81,1729,0,769,378,691,172,131,330,286,52,14,105,474,0,1992,532,0,3458,318,908,211,22,215,0,825,1286,51465,555,0,764,897,30,625,48,9607,209,30422,5576,170643,21958,5535,1417,145335,28828,770,18229,10136,2684,22807,5525,15696,1624,25905,30699,22709,9545,4706,12078,649,2604,11878,1715,16878,3244,25437,17515,380,27685,17955,9756,16648,1205,11666,77,8129,67052,918987,3638,537,23667,22426,270,10530,319
1970,2,8039,683,21460,4363,92996,14622,6360,2263,52434,23120,1681,21860,7245,5974,5997,4509,10525,566,9040,13412,23051,7347,6458,11546,589,2518,6955,1712,16618,3547,17560,14535,168,24767,8461,9144,15497,887,11951,276,10311,40677,605304,5390,780,20397,19450,1044,8383,653,1718,125,5318,654,63666,3052,7107,125,117625,8124,62,14653,1742,1425,1788,4169,2920,316,8599,48826,11236,3692,287,5212,808,2063,1061,165,4783,435,12045,3773,0,13903,6532,2066,6234,900,3713,0,5211,26482,441542,1312,20,1638,9435,1578,7158,0,1458,100,4092,505,51613,2193,4516,125,112201,7234,0,13112,957,1169,1231,3824,2186,280,8535,48124,10890,3457,92,4287,675,1985,1027,0,3668,373,8305,3191,0,12152,6240,1068,6064,900,1652,0,3217,24842,390582,636,0,934,6931,1494,5759,0,260,25,1226,149,12053,859,2591,0,5424,890,62,1541,785,256,557,345,734,36,64,702,346,235,195,925,133,78,34,165,1115,62,3740,582,0,1751,292,998,170,0,2061,0,1994,1640,50960,676,20,704,2504,84,1399,0,9757,808,26777,5017,156661,17675,13467,2388,170059,31243,1742,36513,8988,7399,7784,8678,13445,882,17639,62238,34287,11039,6745,16758,1396,4581,8016,1877,21400,3982,29605,18308,168,38670,14993,11209,21731,1787,15664,276,15522,67159,1046845,6702,800,22036,28885,2622,15540,653
1970,3,23339,892,25769,5239,117485,15291,13517,4310,61031,27823,1743,44787,17022,8643,6687,7423,14256,1665,19493,18364,52855,14354,6329,15524,1112,3473,11356,3183,33263,5179,36034,19676,244,40828,11211,13019,33309,2300,11683,619,15795,46247,909299,6088,933,35770,27770,2137,15108,504,3653,637,3887,1909,82238,6496,4238,0,65543,15790,2189,40053,4530,2240,7377,7223,5133,30,6996,14163,22866,20406,1480,9637,244,1757,3517,2156,10537,1614,22049,5139,300,15523,10134,3565,10244,228,3404,1981,3024,32593,512268,1862,60,15440,13690,90,3043,465,3215,358,2648,1774,68480,5665,2598,0,57045,15411,2050,37235,3621,1824,5963,7034,4138,0,6944,13130,21201,19238,1403,8022,70,1646,3168,2090,8401,1582,18136,2519,300,11913,9688,2502,9220,131,2729,1925,2069,31528,447140,1540,60,14484,11627,50,1100,416,438,279,1239,135,13758,831,1640,0,8498,379,139,2818,909,416,1414,189,995,30,52,1033,1665,1168,77,1615,174,111,349,66,2136,32,3913,2620,0,3610,446,1063,1024,97,675,56,955,1065,65128,322,0,956,2063,40,1943,49,26992,1529,29656,7147,199724,21788,17756,4310,126574,43613,3932,84840,21552,10882,14064,14646,19389,1695,26489,32527,75720,34759,7809,25161,1356,5231,14873,5339,43800,6793,58084,24815,544,56351,21345,16584,43552,2528,15086,2599,18819,78840,1421567,7949,993,51209,41459,2227,18151,969
1970,4,11004,3571,27689,9324,204753,20136,18048,3611,66403,33513,1764,53416,22044,11375,6335,10837,16617,3787,32820,25111,65142,24604,7716,19388,1731,5531,10137,4978,38416,3969,49578,23611,1474,54115,12938,12902,35541,3185,15341,1587,14804,53455,1152364,7313,1689,38344,29266,1131,22059,568,2273,2613,6496,2361,142478,10384,10257,465,78949,30824,654,18386,3337,4507,4511,6097,7098,101,9758,16720,10845,20952,5237,10617,179,195,8097,2515,20217,4498,32178,8530,696,25660,10487,3762,16076,336,3991,1222,3270,34633,635487,1806,143,10615,17942,143,8499,310,618,0,4558,2297,124599,8750,9336,465,73044,29870,50,16076,2295,4094,3790,5657,4314,39,9676,14584,9366,20042,5202,9375,109,37,6375,2449,18731,4296,27675,6777,515,21481,10080,2702,15226,120,3491,950,2300,32874,558368,1023,0,9635,15740,100,5977,310,1655,2613,1938,64,17879,1634,921,0,5905,954,604,2310,1042,413,721,440,2784,62,82,2136,1479,910,35,1242,70,158,1722,66,1486,202,4503,1753,181,4179,407,1060,850,216,500,272,970,1759,77119,783,143,980,2202,43,2522,0,13277,6184,34185,11684,347231,30520,28305,4076,145357,64336,2418,71802,25381,15882,10846,16934,23715,3888,42578,41830,75988,45556,12953,30006,1910,5727,18234,7493,58632,8467,81757,32141,2170,79776,23424,16664,51617,3521,19332,2809,18074,88089,1787851,9119,1832,48959,47208,1274,30558,878
